,date,equity,water_mark,pnl,max_gain
0,2021-03-09,71670.0,71670.0,0.0,0.0
1,2021-03-14,71670.0,71670.0,0.0,0.0
2,2021-03-15,71685.0,71685.0,15.0,15.0
3,2021-03-16,71695.0,71695.0,25.0,25.0
4,2021-03-17,71630.0,71695.0,-40.0,25.0
5,2021-03-18,71590.0,71695.0,-80.0,25.0
6,2021-03-19,71720.0,71720.0,50.0,50.0
7,2021-03-20,71720.0,71720.0,50.0,50.0
8,2021-03-21,71650.0,71720.0,-20.0,50.0
9,2021-03-22,71685.0,71720.0,15.0,50.0
10,2021-03-23,71682.5,71720.0,12.5,50.0
11,2021-03-24,71680.0,71720.0,10.0,50.0
12,2021-03-31,71680.0,71720.0,10.0,50.0
13,2021-04-01,71745.0,71745.0,75.0,75.0
14,2021-04-02,71765.0,71765.0,95.0,95.0
15,2021-04-04,72655.0,72655.0,985.0,985.0
16,2021-04-06,72635.0,72655.0,965.0,985.0
17,2021-04-09,72665.0,72665.0,995.0,995.0
18,2021-04-12,72735.23,72735.23,1065.229999999996,1065.229999999996
19,2021-04-13,72857.65,72857.65,1187.6499999999942,1187.6499999999942
20,2021-04-14,72557.83,72857.65,887.8300000000017,1187.6499999999942
21,2021-04-15,72427.78,72857.65,757.7799999999988,1187.6499999999942
22,2021-04-16,72233.13,72857.65,563.1300000000047,1187.6499999999942
23,2021-04-17,72233.13,72857.65,563.1300000000047,1187.6499999999942
24,2021-04-18,72233.13,72857.65,563.1300000000047,1187.6499999999942
25,2021-04-19,71685.41,72857.65,15.410000000003492,1187.6499999999942
26,2021-04-20,71239.98,72857.65,-430.0200000000041,1187.6499999999942
27,2021-04-21,71865.67,72857.65,195.66999999999825,1187.6499999999942
28,2021-04-22,71896.45,72857.65,226.4499999999971,1187.6499999999942
29,2021-04-23,72226.39,72857.65,556.3899999999994,1187.6499999999942
30,2021-04-24,72312.03,72857.65,642.0299999999988,1187.6499999999942
31,2021-04-26,72601.67,72857.65,931.6699999999983,1187.6499999999942
32,2021-04-27,72782.51,72857.65,1112.5099999999948,1187.6499999999942
33,2021-04-28,72719.17,72857.65,1049.1699999999983,1187.6499999999942
34,2021-04-29,72760.79,72857.65,1090.7899999999936,1187.6499999999942
